from_station,from_station_lat,from_station_lng
Marynarska 12,52.181108,20.992506
PKP Międzylesie,52.205017,21.168801
Żelazna - Grzybowska,52.234495,20.990512
Plac Trzech Krzyży,52.227849,21.023508
al. Jana Pawła II - Plac Mirowski,52.238024,20.995973
Fieldorfa - Bukowskiego,52.229435,21.094524
Oboźna - Kopernika,52.23829,21.018423
Pętla Szczęśliwice,52.208386,20.96311
Bonifraterska - Franciszkańska,52.251549,21.002749
Metro Świętokrzyska,52.234868,21.008976
Factory Annopol,52.298441,21.024163
Noakowskiego - Koszykowa,52.222683,21.00811
Radzymińska - Piotra Skargi,52.266889,21.058568
al. Jana Pawła II - al. Solidarności,52.242178,20.993004
Smocza - Nowolipki,52.243545,20.987351
Plac Konstytucji,52.222943,21.015821
Wolność - Bellottiego,52.24108,20.98316
Mokotowska - Piękna,52.223815,21.020786
Wołoska - Kulskiego,52.20177,20.99969
Rosoła - Wesoła,52.152233,21.056392
Światowida - Mehoffera,52.322698,20.944811
Metro Kondratowicza ,52.291748,21.048282
Rzymowskiego – Gotarda,52.17105,21.005914
Okopowa - Anielewicza,52.244114,20.977868
Powązkowska - Burakowska,52.253594,20.979874
Wola Park,52.2414,20.929192
Emilii Plater - al. Jerozolimskie,52.229046,21.005454
Rechniewskiego - Nowaka-Jeziorańskiego,52.22974,21.10624
Książąt Mazowieckich - Heroldów,52.302867,20.929504
Park Kępa Potocka,52.28794,20.978694
Metro Dworzec Gdański,52.257602,20.994498
al. Zieleniecka - Teatr Powszechny,52.247231,21.047646
Wileńska - Rzeszotarskiej,52.257958,21.03998
Kondratowicza - Chodecka,52.292359,21.040962
Marszałkowska - Hoża,52.226288,21.013571
Ochota-Ratusz,52.222216,20.986629
Rakowiecka - Św. A. Boboli,52.205545,20.998805
PKP Ursus,52.196047,20.884935
Czerwonych Beretów - Frontowa,52.262273,21.177609
Marymoncka - Podleśna,52.281039,20.958925
Pętla Bródno - Podgrodzie,52.300027,21.042527
Praga-Południe-Ratusz,52.2464,21.06868
Pętla Bokserska,52.170182,20.99584
Raszyńska - Wawelska,52.216641,20.987948
Metro Natolin,52.140391,21.056819
Modlińska - Żerańska,52.303198,20.989167
Metro Nowy Świat - Uniwersytet,52.236884,21.017543
Czerniakowska - ZUS,52.199845,21.05095
Metro Służew,52.173313,21.025731
Targowa - Ząbkowska,52.252088,21.038137
Metro Szwedzka,52.263298,21.046161
Anielewicza - Zamenhofa,52.249052,20.994892
Grupy AK Krybar,52.208763,21.066342
Dw. Wschodni – Lubelska,52.25061,21.05336
Topiel - Tamka,52.237594,21.025689
Plac Szembeka,52.242685,21.102494
Stefana Banacha - UW,52.210772,20.984756
Metro Zacisze,52.283476,21.062266
Międzynarodowa - Walecznych,52.236598,21.064774
Wólczyńska - Conrada,52.281063,20.923405
Marszałkowska - Królewska,52.238549,21.006889
Wolska - Redutowa,52.226543,20.941158
Plac Powstańców Warszawy,52.235911,21.013565
Marszałkowska - Litewska,52.21691,21.01997
Radzymińska - Łomżyńska,52.259519,21.052616
Bulwar - most Śląsko - Dąbrowski,52.247972,21.019663
Ptasia - Zimna,52.239571,21.000301
al. Jana Pawła II - Złota,52.230194,20.999486
