to_station,to_station_lat,to_station_lng
Pętla Podskarbińska,52.254189,21.073601
Grójecka - PKP Rakowiec,52.198639,20.965252
Metro Centrum Nauki Kopernik,52.239358,21.031136
Wołoska - Woronicza ,52.18937,21.00247
Rondo Mościckiego,52.23393,21.126986
Aleja Wilanowska - Sobieskiego,52.170234,21.068462
Metro Plac Wilsona,52.269299,20.98346
Plac Powstańców Warszawy,52.235911,21.013565
al. Jana Pawła II - Złota,52.230194,20.999486
Emilii Plater - Wspólna,52.225892,21.006761
Krucza - Wspólna,52.228266,21.017897
Wybrzeże Helskie - ZOO,52.261437,21.015574
Bora-Komorowskiego - Umińskiego,52.223495,21.10133
Marymoncka - Podleśna,52.281039,20.958925
Marynarska 12,52.181108,20.992506
Włodarzewska - Maszynowa,52.202733,20.950999
Obrońców Tobruku - Pieniążka,52.25759,20.932337
Wolska - Płocka,52.233341,20.965197
al. Jana Pawła II - Grzybowska,52.235706,20.996703
Metro Bródno,52.293889,21.027245
Marszałkowska - Litewska,52.21691,21.01997
al. Wilanowska - Przyczółkowa,52.165588,21.083933
Puławska - Pileckiego,52.152355,21.018825
Radzymińska - Piotra Skargi,52.266889,21.058568
Sierakowskiego - Kłopotowskiego,52.250633,21.031117
Anielewicza - Zamenhofa,52.249052,20.994892
Stefana Banacha - UW,52.210772,20.984756
Włochy - Ratusz,52.192471,20.959666
Przyczółkowa - Branickiego,52.159374,21.086449
Pileckiego - Alternatywy,52.14272,21.038362
Radzymińska - Łodygowa,52.286662,21.07535
Bukowiecka - Zamkowa,52.27347,21.07698
Dwernickiego - Siennicka,52.2504,21.077598
Kłobucka – Jurajska,52.1637,20.992412
Metro Marymont,52.27142,20.97271
Przasnyska - Rydygiera,52.258593,20.971005
Centrum Nauki Kopernik,52.241266,21.028187
Emilii Plater - Złota,52.230978,21.003676
Kruczkowskiego – PKP Powiśle,52.233971,21.029991
Rakowiecka - Św. A. Boboli,52.205545,20.998805
Plac Inwalidów ,52.264502,20.9896
Stawki - Dubois,52.253153,20.991552
al. Jana Pawła II - al. Solidarności,52.242178,20.993004
Plac Zawiszy,52.225335,20.989825
Waszyngtona - Kinowa,52.242281,21.07116
al. Niepodległości - Batorego,52.210833,21.007851
Sanocka - Pruszkowska,52.201765,20.98209
Św. Wincentego – Kołowa,52.273679,21.043095
Rondo Fieldorfa,52.264811,21.169537
